Job,Salary,Education Required,Work Setting,,,,,,
Financial Analyst,"$101,910 ",Bachelor's Degree,Office,,,,,,
Budget Analyst,"$87,930 ",Bachelor's Degree,Office,,,,,,
Management Analyst,"$101,190 ",Bachelor's Degree,Travel,,,,,,
Data Scientist,"$112,590 ",Bachelor's Degree,Office,,,Do any of the findings surprise you?  I,,,
Financial Advisor,"$102,140 ",Bachelor's Degree,Office,,,"am not surprised with these findings,",,,
Market Research Analyst,"$76,950 ",Bachelor's Degree,Office,,,and all of the information is as I,,,
Economist,"$115,440 ",Master's Degree,Office,,,expected.  The salary information looks ,,,
Operations Research Analyst,"$91,290 ",Bachelor's Degree,Office,,,like what I thought it would. I have been ,,,
Financial Examiner,"$90,400 ",Bachelor's Degree,Office,,,searching for jobs and internships for a,,,
,,,,,,while now so I am accustomed with what ,,,
,,,,,,to expect ,,,
,,,,,,,,,
,,,,,,Job rankings explained: I am,,,
,,,,,,pursuing a major in economics and,,,
,,,,,,am most interested in going into an,,,
,,,,,,analysis role of some sort.  My ideal,,,
,,,,,,role is something related to financial,,,
,,,,,,"analysis. However, I am also",,,
,,,,,,interested in exploring data science,,,
,,,,,,"roles, explaining why I included a role",,,
,,,,,,in that field.,,,
